City,Cloudiness (%),Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
Kyabe,0,57,9.45,-68.31,91.69,12.86
Sheridan,40,57,39.65,-68.31,48.4,18.01
General MacArthur,80,57,11.25,-68.31,78.1,16.62
Kavaratti,8,57,10.57,-68.31,86.83,13.87
Dingle,92,57,52.14,-68.31,49.57,60.64
Ketchikan,40,57,55.34,-68.31,40.17,25.52
Esperance,24,57,-33.86,-68.31,49.48,7.11
Tezu,20,57,27.93,-68.31,53.53,4.61
Gao,0,57,16.28,-68.31,95.38,19.37
Sao Filipe,0,57,14.9,-68.31,71.71,35.12
Altay,48,57,47.83,-68.31,35.35,7.61
Tobol,80,57,52.68,-68.31,42.19,22.37
Takaka,76,57,-40.86,-68.31,60.46,19.37
Asosa,0,57,10.07,-68.31,74.5,12.86
Iqaluit,20,57,63.75,-68.31,10.4,31.03
Beringovskiy,92,57,63.05,-68.31,30.31,45.39
Benguela,20,57,-12.58,-68.31,84.2,20.51
Miles City,1,57,46.41,-68.31,42.8,15.5
Shafter,1,57,35.5,-68.31,68.18,7.52
Mangan,8,57,27.5,-68.31,28.69,3.85
Coaticook,90,57,45.13,-68.31,30.81,13.02
Bambari,0,57,5.77,-68.31,83.05,21.12
Antalaha,88,57,-14.9,-68.31,75.04,23.38
Baiyin,0,57,36.55,-68.31,35.6,15.01
Praia,40,57,14.92,-68.31,77.0,43.53
Shimoda,36,57,34.7,-68.31,57.31,41.88
Tsukumi,0,57,33.08,-68.31,50.11,19.37
Orlovka,0,57,46.73,-68.31,46.6,7.85
Beidao,0,57,34.57,-68.31,36.97,5.1
Juneau,40,57,58.3,-68.31,35.6,3.11
Cidreira,0,57,-30.17,-68.31,74.14,35.12
Arkhangelsk,0,57,64.54,-68.31,33.8,10.0
Mehamn,75,57,71.03,-68.31,35.6,5.01
Tessalit,0,57,20.2,-68.31,82.24,17.36
Marystown,12,57,47.17,-68.31,34.81,53.4
Roald,0,57,62.58,-68.31,56.77,13.02
Leningradskiy,64,57,69.38,-68.31,8.53,30.87
Victoria,20,57,-4.62,-68.31,82.4,13.02
Okakarara,88,57,-20.59,-68.31,71.71,7.61
Vostok,88,57,46.45,-68.31,32.65,5.35
Ongole,0,57,15.51,-68.31,81.97,18.86
Erenhot,0,57,43.65,-68.31,39.94,30.38
Itaituba,40,57,-4.26,-68.31,84.2,7.61
Siatista,40,57,40.26,-68.31,66.2,7.36
Oktyabrskiy,0,57,55.61,-68.31,59.02,10.0
Brasilia,40,57,-10.9,-68.31,84.2,28.52
Kyshtovka,56,57,56.56,-68.31,34.18,28.63
Malanje,75,57,-9.54,-68.31,78.8,5.01
Antsohihy,44,57,-14.88,-68.31,82.33,24.11
Chiredzi,0,57,-21.05,-68.31,74.59,17.87
Lokosovo,0,57,61.13,-68.31,14.47,10.6
Chemodanovka,0,57,54.09,-68.31,44.8,19.62
Centralia,75,57,46.72,-68.31,44.62,10.51
Umm Lajj,0,57,25.02,-68.31,73.51,19.37
Bubaque,0,57,11.28,-68.31,93.2,18.01
Arman,0,57,59.7,-68.31,1.4,5.61
Augusto Correa,36,57,-1.02,-68.31,83.32,10.6
Sur,0,57,22.57,-68.31,79.72,11.61
Barreirinha,92,57,-2.8,-68.31,74.77,9.6
Chilca,40,57,-13.22,-68.31,62.6,5.01
Porto Novo,20,57,17.02,-68.31,77.0,56.55
College,1,57,64.86,-68.31,15.8,31.03
Kahului,40,57,20.89,-68.31,71.56,20.51
Kedrovyy,0,57,56.17,-68.31,37.4,10.0
Kollam,40,57,8.88,-68.31,82.4,8.37
Vilyuysk,92,57,63.75,-68.31,33.01,17.36
Tasiilaq,90,57,65.61,-68.31,33.8,7.52
Zabol,20,57,31.03,-68.31,73.4,41.03
Atuona,64,57,-9.8,-68.31,82.06,46.13
Norden,40,57,53.59,-68.31,59.13,7.52
Pahrump,75,57,36.21,-68.31,60.85,10.51
Itarema,44,57,-2.92,-68.31,83.05,13.35
Clyde River,1,57,70.47,-68.31,5.0,7.52
Provideniya,92,57,64.42,-68.31,31.93,68.9
Vung Tau,40,57,10.35,-68.31,84.2,18.01
Alihe,12,57,50.57,-68.31,26.44,9.6
Hofn,90,57,64.25,-68.31,46.4,18.01
Upata,48,57,8.02,-68.31,84.67,23.11
Grand-Lahou,24,57,5.24,-68.31,85.48,21.12
Barbosa Ferraz,75,57,-24.03,-68.31,69.8,13.02
La Ronge,75,57,55.1,-68.31,33.8,23.02
Kurchum,76,57,48.57,-68.31,44.26,4.85
Port Hardy,90,57,50.7,-68.31,39.2,7.52
Coquimbo,90,57,-29.95,-68.31,57.2,5.01
Nantucket,90,57,41.28,-68.31,39.2,43.53
Viedma,0,57,-40.81,-68.31,79.36,33.62
Hithadhoo,80,57,-0.6,-68.31,82.33,13.35
Vardo,40,57,70.37,-68.31,31.46,15.5
Bandundu,0,57,-3.32,-68.31,79.81,6.6
Kassala,0,57,15.45,-68.31,72.25,7.11
Sesheke,0,57,-17.48,-68.31,76.3,14.61
Aden,8,57,12.79,-68.31,81.97,17.11
Saquarema,75,57,-22.93,-68.31,75.09,20.51
Aklavik,5,57,68.22,-68.31,-1.45,15.5
Sandwick,75,57,54.57,-68.31,52.86,18.01
Pa Sang,20,57,18.53,-68.31,84.2,5.1
Palmer,1,57,61.6,-68.31,30.83,6.6
Half Moon Bay,75,57,37.46,-68.31,55.96,12.37
Los Llanos de Aridane,20,57,28.66,-68.31,69.8,23.02
Boende,32,57,-0.28,-68.31,81.25,1.61
Bokoro,12,57,12.38,-68.31,87.91,10.6
Porto Velho,75,57,-8.75,-68.31,82.4,23.02
Shubarshi,48,57,48.59,-68.31,39.31,17.36
Shingu,0,57,33.72,-68.31,54.43,25.12
Pangnirtung,5,57,66.15,-68.31,1.4,5.01
Siilinjarvi,0,57,63.08,-68.31,53.6,5.01
